run_id,config_name,row_type,epoch,n_epoch,train_loss,val_loss,val_BER,is_best,elapsed_sec,best_epoch,best_val_loss,best_val_BER,final_train_loss,final_val_loss,final_val_BER,total_time_sec,N,P,lr,n_iter,n_u,n_h,n_conv,n_mlp_hidden,batch_size,device,model_type,damp,n_heads,use_edge_attr,edge_attr_mode
20260308_222721,amp_gat_default,epoch,42,100,0.000045,0.000038,1.822917e-05,1,5645.9,,,,,,,,,,,,,,,,,,amp_gat,1.0,2,True,gram_triplet
20260308_222721,amp_gat_default,epoch,43,100,0.000038,0.000029,1.354167e-05,1,5785.2,,,,,,,,,,,,,,,,,,amp_gat,1.0,2,True,gram_triplet
20260308_222721,amp_gat_default,epoch,44,100,0.000041,0.000030,1.458333e-05,0,5927.6,,,,,,,,,,,,,,,,,,amp_gat,1.0,2,True,gram_triplet
20260308_222721,amp_gat_default,epoch,45,100,0.000037,0.000036,1.666667e-05,0,6069.7,,,,,,,,,,,,,,,,,,amp_gat,1.0,2,True,gram_triplet
20260308_222721,amp_gat_default,epoch,46,100,0.000037,0.000032,1.354167e-05,0,6212.6,,,,,,,,,,,,,,,,,,amp_gat,1.0,2,True,gram_triplet
20260308_222721,amp_gat_default,epoch,47,100,0.000037,0.000030,1.250000e-05,0,6354.1,,,,,,,,,,,,,,,,,,amp_gat,1.0,2,True,gram_triplet
20260308_222721,amp_gat_default,epoch,48,100,0.000035,0.000026,1.197917e-05,1,6497.1,,,,,,,,,,,,,,,,,,amp_gat,1.0,2,True,gram_triplet
20260308_222721,amp_gat_default,epoch,49,100,0.000035,0.000031,1.510417e-05,0,6640.1,,,,,,,,,,,,,,,,,,amp_gat,1.0,2,True,gram_triplet
20260308_222721,amp_gat_default,epoch,50,100,0.000033,0.000025,1.145833e-05,1,6783.0,,,,,,,,,,,,,,,,,,amp_gat,1.0,2,True,gram_triplet
20260308_222721,amp_gat_default,epoch,51,100,0.000034,0.000032,1.718750e-05,0,6926.9,,,,,,,,,,,,,,,,,,amp_gat,1.0,2,True,gram_triplet
20260308_222721,amp_gat_default,epoch,52,100,0.000031,0.000022,9.895833e-06,1,7069.7,,,,,,,,,,,,,,,,,,amp_gat,1.0,2,True,gram_triplet
20260308_222721,amp_gat_default,epoch,53,100,0.000029,0.000020,9.895833e-06,1,7212.3,,,,,,,,,,,,,,,,,,amp_gat,1.0,2,True,gram_triplet
